token_name,rank,holder_address,holders_count
Blockcola Token,1,TLjiPFnSzx6sYGhWMXQZhFhESvWTAh3e8d,13269.162825
Blockcola Token,2,TKH4HPMPjxR2Q93XBVfQrpGiBpyjBwBG6P,3214.795219
Blockcola Token,3,TVkeKCwR7CFpm7ZHT4VTJWHTKT1v7wHXgQ,2498.072674
Blockcola Token,4,TYZTZxY8xaVfBpUsZYify4fTTJDJuvBpeH,1375.012223
Blockcola Token,5,TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,774.160227
Blockcola Token,6,TXka46PPwttNPWfFDPtt3GUodbPThyufaV,505.958434
Blockcola Token,7,TJArcesFdiCSw8bruUXJcL3RxQnVLctvof,239.754337
Blockcola Token,8,TBTj5WHPRCpuT5txyLjTGtft3UYXEgrDjN,209.509556
Blockcola Token,9,TWkXppWS2vFG4F8njKctjWMFPFDJNmZzhA,165.865572
Blockcola Token,10,TGGcvxc8dSBwGqLZo1Tu2ieGoBKwHJwDmE,162.115735
Blockcola Token,11,TRGZi8ikDDnV8Qo3EHXHKcNyVkFcUUFLkr,155.118333
Blockcola Token,12,TEDLVdNfsJQfgU6cpsQQ8JmoKTkcYckm8e,144.325719
Blockcola Token,13,TMDtCUtHtH5vspfVfVP9Y3nvNNjpeUMjQF,140.413139
Blockcola Token,14,TDcuTv9TFTfFH8r4SY2Waqf24pNrWXXK4f,122.5
Blockcola Token,15,TH86oKXeLg1utiwasgBwVSRe3nESiqZXuH,111.06919
Blockcola Token,16,TGeioPk9F6qbrK7NS4fek1UHz7kxT2UNgX,110.486026
Blockcola Token,17,TSxhJMFaq7z9FiYtNjy22WjrWvfoU77DDa,87.931459
Blockcola Token,18,TWJv95TSeTFypFfLgEgFtqbx32JQxbHJ9W,85.297496
Blockcola Token,19,TBWdsiHQRvzthwnAEgC9CmsQejPMdYuGSg,73.646292
Blockcola Token,20,TUxSTCEjgp8BEUAyk8gLCeDUZKxvaZBGSL,70.266251
Blockcola Token,21,TTQVN8DViyjUVG9uLMEc9vCgt1DiHxVDRf,68.256128
Blockcola Token,22,TApUoqQ4sL2KQPAYHmbDBgUi3fhABXJjjy,63.57045
Blockcola Token,23,TKYawpLGA4KsDZ2i4oEdrSuWAKV4mwAP9V,57.027801
Blockcola Token,24,TDE221VideY2eCqgGQGwt2wiWpxrWERkrC,56.441375
Blockcola Token,25,TNFNLVvfskuJEGgHqbJ6Dw7ivCEJTQc8rz,56.298774
Blockcola Token,26,TVQ3xG7f1CCis8QahM2zgyG9jqXj6d9YhP,55.812066
Blockcola Token,27,TYaf1xTRdhCRSTcADStkBUpYRRk1WCFtCM,51.802484
Blockcola Token,28,TUmbWKgA4H2uGQDmhkJHttzmt6NymQxV1r,51.698254
Blockcola Token,29,TFSFWt11o7nWTJyznEkw4Ag8dDDnRv7ezz,50.0
Blockcola Token,30,TTbQ4Mb4hqjN1vsSWTa4FTewKGxrizLnG8,50.0
Blockcola Token,31,TMGgtgXoEpRVaHpaKPGUCXLJEjqy3eMDAy,44.123822
Blockcola Token,32,TPaN5ZqJrsTjJcLLKZNyTNnFFWfcz2qzqK,41.567822
Blockcola Token,33,TVm3vEohV918geD6F9MsdWrb96b35uNp42,40.892404
Blockcola Token,34,TRbdTxyXepmktMsf3kPy6vfT3psXPsXZX7,40.0406
Blockcola Token,35,TKbsC5NDoouA63TWVR8WwgZnpBrz5h1RS3,40.005994
Blockcola Token,36,TFhXh5zUAqQvBUXS3EPxZa7mDwCp8Je7ZM,39.478136
Blockcola Token,37,TULhqiLtaRssmayJRTM3QcgEVVP4Do9Edy,35.635857
Blockcola Token,38,TQP5NzhEcYK9pzVYHbVkLZrG6FEjeCTLEs,35.326201
Blockcola Token,39,TBwGF1ACdTYiRBQjE824oc2jXKzSn5QLdr,34.954825
Blockcola Token,40,TKhyq3sPEvRC1ECXf3AG9oXgBpgvHhfwC2,32.839565
Blockcola Token,41,TLaqDEWrKQGcfCUeYk22oo4BQXCJn64YjU,32.178465
Blockcola Token,42,TAeFb91YVG4qGPmUNYn1FEdijGyHwwCqer,32.03333
Blockcola Token,43,TLCcvhgKZ4M7u2RxzChz27AP6qPevGzCWr,31.766512
Blockcola Token,44,TKL3Gmkar3krxgdF3bX6MGbZmcXAK7VYE2,30.044285
Blockcola Token,45,TUmftC2a6LH3TSeCKg2YquukjHXwz41QyL,29.550653
Blockcola Token,46,TFLNH3T6DVJG5uAQukCs5HhUPmB7o8MLaf,29.018304
Blockcola Token,47,TWzYWQwDGWCgbcvrPBecypUTHRg4bqRMkr,26.590663
Blockcola Token,48,TDB6GXWSpU6ACUU8eKQpUrZrckmgSgKuVe,25.231272
Blockcola Token,49,TCbKgHGwZLZYMTNjU1jV4vu3jmeF5XdtzQ,25.0
Blockcola Token,50,TNgEwMque5rV8qYivQp4BG2XKVjAFJjFnj,24.513387
